"Story","Title","Result","Date","Stability","Duration (s)"
"When deleting a pet","Delete pet from store","SUCCESS","2022-10-19T18:55:19.742119822Z[Etc/UTC]","0.0","4.58"
"When fetching already available pet","Fetch already available pet","SUCCESS","2022-10-19T18:55:24.506150625Z[Etc/UTC]","0.0","0.25"
