"Story","Title","Result","Date","Stability","Duration (s)"
"When fetching already available pet","Fetch already available pet","SUCCESS","2022-10-23T15:51:03.718074272Z[Etc/UTC]","0.0","4.35"
"When deleting a pet","Delete pet from store","SUCCESS","2022-10-23T15:51:08.228195078Z[Etc/UTC]","0.0","0.91"
